Woo Order Number,Order ID,Channel ID,Country,State,order_created_ts,Order Updates,Update Timestamp,Carrier,Tracking Number,Tracking Shipped,shipstation_create_ts,pipe17_ts,delivered_ts,Channel,order_to_shipstation_hrs,shipstation_to_pipe17_hrs,pipe17_to_delivered_hrs,order_to_delivered_hrs,sales_channel,delivery_speed_category,order_date_day
309072,111-2283757-4969834,90,US,FL,9/6/2025 17:36,,9/6/2025 17:36,FedEx,3.9296E+11,9/8/2025 8:38,9/6/2025 15:35,,,,-2.009166667,,,,nan,,9/6/2025
309072,111-2283757-4969834,90,US,FL,9/6/2025 17:36,,9/8/2025 7:39,FedEx,3.9296E+11,9/8/2025 8:38,9/6/2025 15:35,,,,-2.009166667,,,,nan,,9/6/2025
309072,111-2283757-4969834,90,US,FL,9/6/2025 17:36,,9/8/2025 8:38,FedEx,3.9296E+11,9/8/2025 8:38,9/6/2025 15:35,,,,-2.009166667,,,,nan,,9/6/2025
309072,111-2283757-4969834,90,US,FL,9/6/2025 17:36,,9/8/2025 8:54,FedEx,3.9296E+11,9/8/2025 8:38,9/6/2025 15:35,,,,-2.009166667,,,,nan,,9/6/2025
309270,nan,85,US,CO,9/24/2025 8:23,,9/24/2025 8:23,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/24/2025
309270,nan,85,US,CO,9/24/2025 8:23,,9/24/2025 8:23,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/24/2025
309270,nan,85,US,CO,9/24/2025 8:23,,9/24/2025 8:55,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/24/2025
309270,nan,85,US,CO,9/24/2025 8:23,,9/24/2025 12:33,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/24/2025
309282,nan,0,US,MT,9/25/2025 9:51,,9/25/2025 9:51,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309282,nan,0,US,MT,9/25/2025 9:51,,9/25/2025 9:51,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309283,113-8848136-7690662,90,US,IN,9/25/2025 12:06,,9/25/2025 12:06,,,,9/25/2025 10:05,,,,-2.009444444,,,,nan,,9/25/2025
309283,113-8848136-7690662,90,US,IN,9/25/2025 12:06,,9/25/2025 12:06,,,,9/25/2025 10:05,,,,-2.009444444,,,,nan,,9/25/2025
309290,113-4560905-6854627,90,US,CA,9/25/2025 13:51,,9/25/2025 13:51,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 11:50,,,,-2.009722222,,,,nan,,9/25/2025
309290,113-4560905-6854627,90,US,CA,9/25/2025 13:51,,9/25/2025 13:51,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 11:50,,,,-2.009722222,,,,nan,,9/25/2025
309282,nan,0,US,MT,9/25/2025 9:51,,9/25/2025 14:03,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309291,nan,84,US,CO,9/25/2025 14:28,,9/25/2025 14:32,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309291,nan,84,US,CO,9/25/2025 14:28,,9/25/2025 14:42,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309291,nan,84,US,CO,9/25/2025 14:28,,9/25/2025 14:43,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309291,nan,84,US,CO,9/25/2025 14:28,,9/25/2025 15:39,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309292,113-2284391-0792243,90,US,FL,9/25/2025 15:51,,9/25/2025 15:51,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 13:50,,,,-2.010277778,,,,nan,,9/25/2025
309292,113-2284391-0792243,90,US,FL,9/25/2025 15:51,,9/25/2025 15:51,FedEx,3.93627E+11,9/29/2025 7:33,9/25/2025 13:50,,,,-2.010277778,,,,nan,,9/25/2025
309293,nan,0,US,TX,9/25/2025 20:53,,9/25/2025 20:54,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309293,nan,0,US,TX,9/25/2025 20:53,,9/25/2025 20:54,FedEx,3.93627E+11,9/29/2025 7:33,,,,,,,,,nan,,9/25/2025
309294,nan,0,US,PA,9/26/2025 4:06,,9/26/2025 4:06,FedEx,3.93628E+11,9/29/2025 7:34,,,,,,,,,nan,,9/26/2025
309294,nan,0,US,PA,9/26/2025 4:06,,9/26/2025 4:06,FedEx,3.93628E+11,9/29/2025 7:34,,,,,,,,,nan,,9/26/2025
